,AGENCY,AGENCY NAME,CLASS TITLE,ETHNICITY,GENDER,STATUS,HRS PER WK,MONTHLY,ANNUAL
0,241,17,711,5,1,8,29.0,9545.82,114549.84
1,212,48,560,5,1,4,4.0,1404.77,16857.24
3,212,48,560,5,1,4,4.0,1404.77,16857.24
4,696,88,292,3,0,0,40.0,3284.27,39411.24
5,302,54,399,3,0,0,40.0,12899.0,154788.0
6,601,91,282,5,1,0,40.0,5835.5,70026.0
7,510,82,399,5,1,0,40.0,10000.0,120000.0
8,520,4,487,5,1,6,20.0,4281.95,51383.4
9,537,29,673,2,1,0,40.0,3447.25,41367.0
10,530,24,217,3,1,0,40.0,3816.65,45799.8
11,529,40,672,2,0,0,40.0,2514.58,30174.96
12,537,29,18,5,0,0,40.0,3120.83,37449.96
13,537,29,282,3,0,0,40.0,4506.84,54082.08
14,551,22,50,2,0,0,40.0,3150.0,37800.0
15,530,24,1009,5,0,0,40.0,5954.55,71454.6
16,529,40,674,3,0,0,40.0,4594.16,55129.92
17,529,40,1261,2,1,0,40.0,3950.0,47400.0
18,530,24,66,2,0,0,40.0,3498.0,41976.0
19,537,29,1010,5,0,0,40.0,5416.67,65000.04
20,771,62,1381,3,0,1,20.0,1375.0,16500.0
21,771,62,1153,3,0,1,20.0,1287.5,15450.0
22,771,62,1154,5,1,1,20.0,1500.0,18000.0
23,771,62,1153,5,1,1,20.0,1275.0,15300.0
24,771,62,1154,5,0,1,20.0,1537.5,18450.0
25,771,62,1153,5,0,1,20.0,1293.0,15516.0
26,771,62,776,5,1,1,20.0,1669.0,20028.0
27,771,62,50,5,1,1,20.0,1595.5,19146.0
28,771,62,49,3,0,1,20.0,1501.0,18012.0
29,771,62,1382,3,0,1,20.0,1463.21,17558.52
30,772,63,904,5,0,1,16.0,2392.97,28715.64
31,771,62,620,5,0,8,19.0,2353.08,28236.96
32,772,63,1152,5,1,1,20.0,1061.65,12739.8
33,772,63,1272,5,1,8,7.0,758.33,9099.96
34,101,67,765,5,0,7,40.0,6500.0,78000.0
35,101,67,765,5,1,7,40.0,6666.67,80000.04000000001
36,101,67,750,5,0,7,40.0,8000.0,96000.0
37,101,67,751,3,0,7,41.0,2694.26,32331.120000000003
38,101,67,750,5,1,7,40.0,9250.0,111000.0
39,101,67,750,5,1,7,40.0,11150.0,133800.0
40,101,67,765,5,0,7,40.0,4583.33,54999.96
41,101,67,765,3,0,8,30.0,8000.0,96000.0
42,101,67,750,5,1,7,40.0,10833.33,129999.96
43,101,67,750,5,1,7,40.0,8750.0,105000.0
44,101,67,750,5,1,7,40.0,8500.0,102000.0
45,101,67,750,3,1,7,40.0,9200.0,110400.0
46,101,67,765,4,1,7,40.0,5500.0,66000.0
47,101,67,750,5,0,7,40.0,8500.0,102000.0
48,101,67,765,5,1,7,40.0,8500.0,102000.0
49,104,43,84,5,0,8,20.0,7000.0,84000.0
50,101,67,750,5,0,8,20.0,3100.0,37200.0
51,101,67,750,4,0,8,32.0,5000.0,60000.0
52,102,42,442,4,0,8,8.0,2500.0,30000.0
53,101,67,765,5,0,7,41.0,4140.18,49682.16
54,101,67,765,5,1,7,40.0,4500.0,54000.0
55,101,67,750,5,1,7,40.0,10850.0,130200.0
56,101,67,751,5,1,7,41.0,4098.93,49187.16
57,101,67,765,5,1,7,40.0,7500.0,90000.0
58,104,43,259,5,1,8,20.0,8000.0,96000.0
59,101,67,750,5,1,8,20.0,4500.0,54000.0
60,101,67,765,5,1,7,40.0,5835.0,70020.0
61,101,67,750,5,0,7,40.0,9000.0,108000.0
62,101,67,750,3,1,7,40.0,6250.0,75000.0
63,101,67,751,3,0,7,41.0,3365.4,40384.8
64,101,67,750,5,1,7,40.0,5787.5,69450.0
65,101,67,750,5,1,7,40.0,9500.0,114000.0
66,101,67,750,3,1,7,40.0,10500.0,126000.0
67,101,67,765,5,0,7,40.0,3900.0,46800.0
68,104,43,84,5,0,8,20.0,5000.0,60000.0
69,101,67,765,5,0,8,20.0,2700.0,32400.0
70,101,67,765,3,1,7,40.0,8500.0,102000.0
71,101,67,750,5,1,7,40.0,13000.0,156000.0
72,102,42,442,5,1,8,30.0,1000.0,12000.0
73,101,67,750,5,1,8,10.0,500.0,6000.0
74,101,67,750,5,1,7,40.0,10500.0,126000.0
75,101,67,765,5,1,7,40.0,4250.0,51000.0
76,101,67,750,5,1,7,40.0,10000.0,120000.0
77,101,67,750,5,0,7,40.0,17300.0,207600.0
78,101,67,751,5,1,7,41.0,5021.45,60257.4
79,101,67,750,5,0,7,40.0,7500.0,90000.0
